NÃºmero;SÃ©rie;Data de emissÃ£o;SituaÃ§Ã£o;Natureza;DescriÃ§Ã£o;CÃ³digo;Quantidade;Valor unitÃ¡rio;Valor total;Nome da Loja;CÃ³digo no fornecedor;Nome;Marca;;SÃ©rie;Data de emissÃ£o;SituaÃ§Ã£o;Natureza;DescriÃ§Ã£o;CÃ³digo;Quantidade;Valor unitÃ¡rio;Valor total;Nome da Loja;;;SÃ©rie;Data de emissÃ£o;SituaÃ§Ã£o;Natureza;DescriÃ§Ã£o;CÃ³digo;Quantidade;Valor unitÃ¡rio;Valor total;Nome da Loja;Nome
129037;2;01/06/2026 03:38;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Tinta Esmalte Maritimo Direto Na Ferrugem Para Metal 900ml Cinza Medio;EMF044309;1;73,27;73,27;EOV - Mercado Livre;EMF044309;IVA QUIMICA DO BRASIL LTDA;O PULO DO GATO;;1;01/06/2026 09:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;KIT 2x Fixador de Pedras Hold Stone 1L + Borrifador Manual de CompressÃ£o PrÃ©via 2L Bestfer;KITBHS01;1;177,99;177,99;Obramil - Mercado livre;;;1;01/06/2026 09:45;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;LT Shine Cera AtÃ³xica de Acabamento 700G;LC0000209;1;105,99;105,99;Mercado Livre - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA
129041;2;01/06/2026 04:08;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Kit 2 Removedor De Tintas Tira Tintas 500ml - Cristal;KITTT002;1;124,96;124,96;EOV - Mercado Livre;;-;CRISTAL;;1;01/06/2026 09:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Removick Removedor de Filme 150ML Transfix;RF00150;1;97,06;97,06;Obramil - Mercado livre;;;1;01/06/2026 09:45;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;LT Shine Marmorite 1KG Branco Supremo;LM0000101;1;159,28;159,28;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA
129043;2;01/06/2026 06:20;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Massa Polimerica Cimento Pronto Cola Tijolos Blocos 2,5kg;TCB03010;1;24,96;24,96;EOV - Mercado Livre;-;-;-;;1;01/06/2026 09:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Hobby Art Verniz AtÃ³xico 100ML;TV0100001;1;64,69;64,69;Obramil - Mercado livre;;;1;01/06/2026 10:10;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;Tampa para tinta 3,6L  Americano Pratinta;TM0002;1;30;30;Shopee - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA
129047;2;01/06/2026 07:06;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Limpa Privada Encardida Sem Esforco Wdc 1lt;IL0100003;1;150;150;EOV - Mercado Livre;IL0100001;IVA QUIMICA DO BRASIL LTDA;IVACLEAN;;1;01/06/2026 10:03;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Shampoo para Telhas Power Shower 5L Cristal;C2763;1;112,48;112,48;Obramil - Mercado livre;;;1;01/06/2026 14:28;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;LT Shine Marmorite 4KG Base;LM0400004;1;186,89;186,89;Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA
129049;2;01/06/2026 07:06;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Massa Fina Seca Parede 4KG Branco;MFS0020;1;182;182;EOV - Mercado Livre;;-;ELASTMENT;;1;01/06/2026 11:23;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Rejunte AcrÃ­lico 420G Cinza - Pulo do Gato;PRA0410420;1;38,51;38,51;Obramil - Mercado livre;;;2;01/06/2026 19:20;Autorizada;Venda de mercadoria a nÃ£o contribuinte;Selante Para Juntas Cimenticias Dw240 Flex 420g Cinza;SE2440142;1;124,87;124,87;Mercado Livre - Construlivre;-
129051;2;01/06/2026 07:31;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Hidrofugante Para Gesso - Sos Gesso 1 Litro Drylevis;SG400001;1;132;132;EOV - Mercado Livre;-;-;-;;1;01/06/2026 12:04;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;KIT 2x Fixador de Pedras Hold Stone 1L + Borrifador Manual de CompressÃ£o PrÃ©via 2L Bestfer;KITBHS01;1;177,99;177,99;Obramil - Mercado livre;;;1;02/06/2026 08:33;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;Massa Fina Seca Parede 4KG Branco;PM0400104;1;198,63;198,63;Shopee - Construlivre;IVA QUIMICA DO BRASIL LTDA
211748;1;01/06/2026 08:04;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Tampa para tinta 3,6L  Plus Pratinta;TM0003;1;36;36;EOV - Mercado Livre;;-;PRATINTAS;;1;01/06/2026 12:04;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Removick Removedor de SublimaÃ§Ã£o 150ML;RSB000150;1;107,96;107,96;Obramil - Mercado livre;;;1;02/06/2026 08:33;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;Espuma Turbo DW240 750G - Drylevis;ET24001750;1;187,23;187,23;Mercado Livre - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA
211749;1;01/06/2026 08:09;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Cola Piso VinÃ­lico E Emborrachado AC10000 1KG;AC1000301;1;107,35;107,35;Eov Shopee 2026;;IVA QUIMICA DO BRASIL LTDA;PROFIXX;;1;01/06/2026 12:04;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Removick Removedor de Filme 150ML Transfix;RF00150;1;97,06;97,06;Obramil - Mercado livre;;;1;02/06/2026 08:33;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;Kit Massa De Efeito Marmorite 1kg + Cera De Acabamento;KITMARM2;1;210,99;210,99;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA
211750;1;01/06/2026 08:11;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante para Juntas CimentÃ­cias DW240 Flex 420G - Branco;SE2400142;1;153,73;153,73;Eov Shopee 2026;;IVA QUIMICA DO BRASIL LTDA;DRY LEVIS;;1;01/06/2026 14:19;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Umi Block Cristal C/ Bico Aplicador - Impermeabilizante para Pequenos Reparos 500ML;CUB01000009;1;358,68;358,68;Obramil - Mercado livre;;;1;02/06/2026 08:33;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;LT Shine Grannistone Primer Promotor de AderÃªncia 4KG Cinza Claro;TPG0440404;1;147,74;147,74;Shopee - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA
211751;1;01/06/2026 08:11;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Saco para Gelo Bompack DescartÃ¡vel - 1 Caixa c/ 8 sacos de 192 cubos;SG192008;12;12,2;146,4;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA;Bompack;;1;01/06/2026 14:37;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Nex Floor Granito LÃ­quido 1,250KG Cinza Andorinha - Cristal;CNFGL4125;1;320;320;Obramil - Mercado livre;;;1;02/06/2026 08:33;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;LT Shine Pigmento Uma Gota 50ML Azul;UG04221050;1;31,78;31,78;Shopee - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA
