NÃºmero;SÃ©rie;Data de emissÃ£o;SituaÃ§Ã£o;Natureza;DescriÃ§Ã£o;CÃ³digo;Quantidade;Valor unitÃ¡rio;Valor total;Nome da Loja;CÃ³digo no fornecedor;Nome;Marca;;SÃ©rie;Data de emissÃ£o;SituaÃ§Ã£o;Natureza;DescriÃ§Ã£o;CÃ³digo;Quantidade;Valor unitÃ¡rio;Valor total;Nome da Loja;;;SÃ©rie;Data de emissÃ£o;SituaÃ§Ã£o;Natureza;DescriÃ§Ã£o;CÃ³digo;Quantidade;Valor unitÃ¡rio;Valor total;Nome da Loja;Nome
211931;1;01/06/2026 14:27;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine PelÃ­cula LÃ­quida 900ML;LG0100009;2;101,39;202,77;EOV - Wake;LG0100009;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211932;1;01/06/2026 14:29;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;;
129096;2;01/06/2026 14:30;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Kit SOS Umidade 250G - 2 unidades;SU04000251;1;390,04;390,04;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA; DRYLEVIS;;;;;;;;;;;;;;;;;;;;;;;;
129098;2;01/06/2026 14:31;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante Silicone Alta Vedacao Trincas Fissuras Dw240 420g;SE2440142;1;142,34;142,34;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA;DRYLEVIS;;;;;;;;;;;;;;;;;;;;;;;;
211933;1;01/06/2026 14:33;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Nex Floor Granito LÃ­quido 1,250KG Marrom Imperial - Cristal;CNFGL1125;1;393,97;393,97;Eov Shopee 2026;;IVA QUIMICA DO BRASIL LTDA;CRISTAL;;;;;;;;;;;;;;;;;;;;;;;;
211936;1;01/06/2026 14:35;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Verniz Wood Wood PU 70 Base Ãgua para Madeira 900ML;WV0100009;2;243,82;487,64;EOV - Wake;WV0100009;IVA QUIMICA DO BRASIL LTDA;Wood Wood;;;;;;;;;;;;;;;;;;;;;;;;
211937;1;01/06/2026 14:36;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Shampoo para Telhas Power Shower 5L Cristal;C2763;1;112,48;112,48;EOV - Mercado Livre;;-;CRISTAL;;;;;;;;;;;;;;;;;;;;;;;;
211938;1;01/06/2026 14:37;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Esmalte MarÃ­timo Sobre Ferrugem 900G Cinza MÃ©dio - Pulo do Gato;EMF044309;1;62,28;62,28;Eov Shopee 2026;EMF044309;IVA QUIMICA DO BRASIL LTDA;O PULO DO GATO;;;;;;;;;;;;;;;;;;;;;;;;
211940;1;01/06/2026 14:39;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante para Juntas CimentÃ­cias DW240 Flex 420G - Cinza;SE2440142;1;75,24;75,24;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;DRYLEVIS;;;;;;;;;;;;;;;;;;;;;;;;
211941;1;01/06/2026 14:39;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Hobby Art Decora Pinta Tudo 250ML Branco;DPT04001025;1;67,74;67,74;Eov Shopee 2026;DPT04001025;IVA QUIMICA DO BRASIL LTDA;HOBBY ART;;;;;;;;;;;;;;;;;;;;;;;;
211942;1;01/06/2026 14:40;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante para Juntas CimentÃ­cias DW240 Flex 420G - Branco;SE2400142;2;75,24;150,48;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;DRY LEVIS;;;;;;;;;;;;;;;;;;;;;;;;
211943;1;01/06/2026 14:41;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante para Juntas CimentÃ­cias DW240 Flex 420G - Branco;SE2400142;1;153,73;153,73;EOV - TIK TOK;;IVA QUIMICA DO BRASIL LTDA;DRY LEVIS;;;;;;;;;;;;;;;;;;;;;;;;
211944;1;01/06/2026 14:41;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante para Juntas CimentÃ­cias DW240 Flex 420G - Branco;SE2400142;1;75,24;75,24;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;DRY LEVIS;;;;;;;;;;;;;;;;;;;;;;;;
129100;2;01/06/2026 14:41;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Resina Tira Mofo De Parede E Mdf Protetora - 900ml;LTPL900001;1;142,29;142,29;EOV - Mercado Livre;;-;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211945;1;01/06/2026 14:42;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante para Juntas CimentÃ­cias DW240 Flex 420G - Branco;SE2400142;1;153,73;153,73;Eov Shopee 2026;;IVA QUIMICA DO BRASIL LTDA;DRY LEVIS;;;;;;;;;;;;;;;;;;;;;;;;
211946;1;01/06/2026 14:43;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante para Juntas CimentÃ­cias DW240 Flex 420G - Branco;SE2400142;2;75,24;150,48;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;DRY LEVIS;;;;;;;;;;;;;;;;;;;;;;;;
129102;2;01/06/2026 14:44;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Bisnaga 420g Zerotrinca;ZT040420;2;38,55;77,1;EOV - Mercado Livre;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
211948;1;01/06/2026 14:45;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Hobby Art Perfect Glass Monocomponente 100G;PM0000101;1;76,13;76,13;Eov Shopee 2026;PM0000101;IVA QUIMICA DO BRASIL LTDA;HOBBY ART;;;;;;;;;;;;;;;;;;;;;;;;
211949;1;01/06/2026 14:47;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine PelÃ­cula LÃ­quida 900ML;LG0100009;1;106,72;106,72;EOV - Wake;LG0100009;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211950;1;01/06/2026 14:47;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Hobby Art Perfect Glass Monocomponente 100G;PM0000101;1;76,13;76,13;Eov Shopee 2026;PM0000101;IVA QUIMICA DO BRASIL LTDA;HOBBY ART;;;;;;;;;;;;;;;;;;;;;;;;
211951;1;01/06/2026 14:48;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Smart Resina 900ML Fosca;SR0400009;1;114,2;114,2;EOV - Wake;SR0400009;IVA QUIMICA DO BRASIL LTDA;SMART;;;;;;;;;;;;;;;;;;;;;;;;
211953;1;01/06/2026 14:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Marmorite Cera de CarnaÃºba 200G;MSS010002;1;79,9;79,9;EOV - Wake;MSS010002;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211954;1;01/06/2026 14:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Hobby Art Perfect Glass Monocomponente 100G;PM0000101;1;76,13;76,13;Eov Shopee 2026;PM0000101;IVA QUIMICA DO BRASIL LTDA;HOBBY ART;;;;;;;;;;;;;;;;;;;;;;;;
211952;1;01/06/2026 14:51;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Elastment Baldrame + Ãreas Frias - Impermeabilizante Bicomponente FlexÃ­vel de Alto Desempenho 8KG;EBB044008;1;210,9;210,9;EOV - Wake;EBB044008;IVA QUIMICA DO BRASIL LTDA;ELASTMENT;;;;;;;;;;;;;;;;;;;;;;;;
211952;1;01/06/2026 14:51;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;SOS Umidade 250G;SU04000250;5;202,03;1.010,15;EOV - Wake;SU04000250;IVA QUIMICA DO BRASIL LTDA;ELASTMENT;;;;;;;;;;;;;;;;;;;;;;;;
211952;1;01/06/2026 14:51;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Aplicador de Silicone 9 Polegadas Sparta;8863655;1;0;0;EOV - Wake;89145532;BMB MATERIAL DE CONSTRUCAO S.A.;SPARTA;;;;;;;;;;;;;;;;;;;;;;;;
211955;1;01/06/2026 14:52;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Pigmento Uma Gota 50ML Castanho;UG04741050;2;11,92;23,83;EOV - Wake;UG04741050;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211956;1;01/06/2026 14:52;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Fixador de Pedras Soltas Hold Stone 500ML;HS01000500;1;91,8;91,8;Eov Shopee 2026;HS01000500;IVA QUIMICA DO BRASIL LTDA;HOLD STONE;;;;;;;;;;;;;;;;;;;;;;;;
211934;1;01/06/2026 14:52;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Cera Cristal Tripla AÃ§Ã£o  Wood Wood 200G;CTM0100002;1;94,05;94,05;EOV - Wake;CTM0100002;IVA QUIMICA DO BRASIL LTDA;WOOD WOOD;;;;;;;;;;;;;;;;;;;;;;;;
211957;1;01/06/2026 14:53;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de SublimaÃ§Ã£o 150ML;RSB000150;1;107,96;107,96;Eov Shopee 2026;RSB000150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;;
211958;1;01/06/2026 14:54;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine PelÃ­cula LÃ­quida 900ML;LG0100009;1;106,72;106,72;EOV - Wake;LG0100009;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211959;1;01/06/2026 14:56;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine PelÃ­cula LÃ­quida 900ML;LG0100009;1;153,67;153,67;Eov Shopee 2026;LG0100009;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211960;1;01/06/2026 14:57;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Hobby Art Decora Pinta Tudo 250ML Branco;DPT04001025;1;46,97;46,97;EOV - Wake;DPT04001025;IVA QUIMICA DO BRASIL LTDA;HOBBY ART;;;;;;;;;;;;;;;;;;;;;;;;
211960;1;01/06/2026 14:57;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Smart Resina 250ML Semi Brilho;SR0100025;1;48,76;48,76;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;SMART;;;;;;;;;;;;;;;;;;;;;;;;
211961;1;01/06/2026 14:58;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine PelÃ­cula LÃ­quida 900ML;LG0100009;1;153,67;153,67;Eov Shopee 2026;LG0100009;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211962;1;01/06/2026 15:00;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Hobby Art Decora Pinta Tudo 250ML Verde Oliva;DPT05224025;1;38,5;38,5;EOV - Wake;DPT05224025;IVA QUIMICA DO BRASIL LTDA;HOBBY ART;;;;;;;;;;;;;;;;;;;;;;;;
211962;1;01/06/2026 15:00;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Hobby Art Decora Pinta Tudo 250ML Branco;DPT04001025;1;46,97;46,97;EOV - Wake;DPT04001025;IVA QUIMICA DO BRASIL LTDA;HOBBY ART;;;;;;;;;;;;;;;;;;;;;;;;
211963;1;01/06/2026 15:00;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Fita Multiuso LÃ­quida para Telhados SOS Telhas 18KG Branco;SOS0400120;1;2.017,46;2.017,46;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA;ELASTMENT;;;;;;;;;;;;;;;;;;;;;;;;
211964;1;01/06/2026 15:01;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Aditivo para Concreto Tech Concreto 150G - Pulo do Gato;PTC000150;1;49,86;49,86;Eov Shopee 2026;PTC000150;IVA QUIMICA DO BRASIL LTDA;PULO DO GATO;;;;;;;;;;;;;;;;;;;;;;;;
211965;1;01/06/2026 15:02;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Limpa Pedras BiodegradÃ¡vel Ivaclean 1L;IL0100001;1;94,93;94,93;EOV - Wake;96932;IVA QUIMICA DO BRASIL LTDA;IVA CLEAN;;;;;;;;;;;;;;;;;;;;;;;;
211966;1;01/06/2026 15:04;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Elastment Rapid Cure Crack Filler - Preenchedor de Trincas de Concreto em PÃ³ 700G Concreto;RCCF044007;1;93,2;93,2;Eov Shopee 2026;RCCF044007;IVA QUIMICA DO BRASIL LTDA;ELASTMENT;;;;;;;;;;;;;;;;;;;;;;;;
211967;1;01/06/2026 15:05;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Filme 150ML Transfix;RF00150;1;102,17;102,17;EOV - Mercado Livre;RF00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;;
211968;1;01/06/2026 15:05;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Fita Multiuso LÃ­quida para Telhados SOS Telhas 18KG Branco;SOS0400120;1;2.017,46;2.017,46;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA;ELASTMENT;;;;;;;;;;;;;;;;;;;;;;;;
129104;2;01/06/2026 15:06;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Kit SOS Umidade 250G - 2 unidades;SU04000251;1;390,04;390,04;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA; DRYLEVIS;;;;;;;;;;;;;;;;;;;;;;;;
211969;1;01/06/2026 15:06;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Nex Floor Granito LÃ­quido 1,250KG Branco CearÃ¡ - Cristal;CNFGL0125;1;393,97;393,97;Eov Shopee 2026;;IVA QUIMICA DO BRASIL LTDA;CRISTAL;;;;;;;;;;;;;;;;;;;;;;;;
211970;1;01/06/2026 15:06;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Filme 900ML;RF00900;1;371,54;371,54;EOV - Mercado Livre;RF00900;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;;
211971;1;01/06/2026 15:08;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Verniz Cristal Incolor AtÃ³xico Wood Wood 900ML;VA0100009;1;278,66;278,66;EOV - Mercado Livre;VA0100009;IVA QUIMICA DO BRASIL LTDA;WOOD WOOD;;;;;;;;;;;;;;;;;;;;;;;;
211972;1;01/06/2026 15:11;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;SOS Gesso - Hidrofugante para Gesso 1L;SG0400001;2;102,62;205,23;EOV - Mercado Livre;SG0400001;IVA QUIMICA DO BRASIL LTDA;DRY LEVIS;;;;;;;;;;;;;;;;;;;;;;;;
129106;2;01/06/2026 15:11;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Tinta Esmalte Maritimo Direto Na Ferrugem Para Metal 900ml;EMF044209;1;62,28;62,28;EOV - Mercado Livre;EMF044209;IVA QUIMICA DO BRASIL LTDA;PULO DO GATO;;;;;;;;;;;;;;;;;;;;;;;;
211974;1;01/06/2026 15:12;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Massa Flex Tapa Tudo 5000 - 90G;MF0400190;1;25,08;25,08;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA;SMART;;;;;;;;;;;;;;;;;;;;;;;;
211974;1;01/06/2026 15:12;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante AcrÃ­lico Zero Trinca 420G;ZT04001420;1;30,84;30,84;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA;SMART;;;;;;;;;;;;;;;;;;;;;;;;
211975;1;01/06/2026 15:14;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Pigmento Uma Gota 50ML CafÃ© ArÃ¡bica;UG04773050;1;31,78;31,78;Eov Shopee 2026;UG04773050;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211939;1;01/06/2026 15:14;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Cola para Madeira Wood Wood 3 - 497G;WD00000497;2;67,93;135,86;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;Wood Wood;;;;;;;;;;;;;;;;;;;;;;;;
211976;1;01/06/2026 15:15;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Protelha Fast Tape Cristal 20cm x 5m - Fita Aluminizada de CopolÃ­mero SintÃ©tico;FT000205;1;237,5;237,5;EOV - Mercado Livre;;RIO CHENS IMPORT. E EXPORTAD. LTDA;Cristal;;;;;;;;;;;;;;;;;;;;;;;;
211977;1;01/06/2026 15:16;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;;
211978;1;01/06/2026 15:19;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Esmalte MarÃ­timo Sobre Ferrugem 900G Branco - Pulo do Gato;EMF044409;1;62,28;62,28;Eov Shopee 2026;EMF044409;IVA QUIMICA DO BRASIL LTDA;O PULO DO GATO;;;;;;;;;;;;;;;;;;;;;;;;
211979;1;01/06/2026 15:19;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;SOS Gesso - Hidrofugante para Gesso 1L;SG0400001;3;99;297;EOV - Mercado Livre;SG0400001;IVA QUIMICA DO BRASIL LTDA;DRY LEVIS;;;;;;;;;;;;;;;;;;;;;;;;
211980;1;01/06/2026 15:22;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Tech Cola Bloco - Argamassa Pronta para Assentamento 2,5KG Pulo do Gato;CLB00001025;2;44,81;89,62;Eov Shopee 2026;CLB00001025;IVA QUIMICA DO BRASIL LTDA;PULO DO GATO;;;;;;;;;;;;;;;;;;;;;;;;
211981;1;01/06/2026 15:24;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;SOS Gesso - Hidrofugante para Gesso 1L;SG0400001;1;132;132;EOV - Mercado Livre;SG0400001;IVA QUIMICA DO BRASIL LTDA;DRY LEVIS;;;;;;;;;;;;;;;;;;;;;;;;
211982;1;01/06/2026 15:27;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Agente Fixador Sand & Stone 1L Cristal;S&S0200001;1;157;157;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA;CRISTAL;;;;;;;;;;;;;;;;;;;;;;;;
129108;2;01/06/2026 15:28;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Massa Polimerica Cimento Pronto Cola Tijolos Blocos 2,5kg;TCB03010;1;24,96;24,96;EOV - Mercado Livre;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
211983;1;01/06/2026 15:28;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Esmalte MarÃ­timo Sobre Ferrugem 900G Branco - Pulo do Gato;EMF044409;1;62,28;62,28;Eov Shopee 2026;EMF044409;IVA QUIMICA DO BRASIL LTDA;O PULO DO GATO;;;;;;;;;;;;;;;;;;;;;;;;
211983;1;01/06/2026 15:28;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Esmalte MarÃ­timo Sobre Ferrugem 900G Preto - Pulo do Gato;EMF044209;1;62,28;62,28;Eov Shopee 2026;EMF044209;IVA QUIMICA DO BRASIL LTDA;PULO DO GATO;;;;;;;;;;;;;;;;;;;;;;;;
211984;1;01/06/2026 15:30;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Esmalte MarÃ­timo Sobre Ferrugem 3,6KG Preto - Pulo do Gato;EMF044136;1;159,48;159,48;EOV - Mercado Livre;EMF044136;IVA QUIMICA DO BRASIL LTDA;O PULO DO GATO;;;;;;;;;;;;;;;;;;;;;;;;
211985;1;01/06/2026 15:32;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Acqua Shine Componente A 500G;AS01000500;1;235,13;235,13;Comercial Interno;AS01000500;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211985;1;01/06/2026 15:32;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Acqua Shine Componente B 250G;AS01000250B;1;235,12;235,12;Comercial Interno;AS01000250B;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211985;1;01/06/2026 15:32;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Resina 900ML Brilhante;LR0100009;1;101,38;101,38;Comercial Interno;LR0100009;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211986;1;01/06/2026 15:32;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Disco Cogumelo de 10cm Diamante Negro GrÃ£o 16 Cupins de AÃ§o;CDA209;1;249,9;249,9;EOV - Mercado Livre;209;CUPINS DE ACO FERRAMENTAS UNIVERSAIS LTDA;CUPINS DE AÃ‡O;;;;;;;;;;;;;;;;;;;;;;;;
211987;1;01/06/2026 15:34;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Tinta impermeabilizante Protelha Plus 18L Incolor;PRO0000018;1;875,71;875,71;EOV - Mercado Livre;PRO00000;IVA QUIMICA DO BRASIL LTDA;UMA TINTA;;;;;;;;;;;;;;;;;;;;;;;;
211988;1;01/06/2026 15:35;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine PelÃ­cula LÃ­quida 900ML;LG0100009;1;106,72;106,72;EOV - Wake;LG0100009;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211989;1;01/06/2026 15:37;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine PelÃ­cula LÃ­quida 900ML;LG0100009;1;106,72;106,72;EOV - Wake;LG0100009;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211990;1;01/06/2026 15:38;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine PelÃ­cula LÃ­quida 900ML;LG0100009;1;106,72;106,72;EOV - Wake;LG0100009;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211991;1;01/06/2026 15:38;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Grannistone 25KG Castelo de Areia;GN0406225;1;769,9;769,9;EOV - Mercado Livre;GN0406225;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211992;1;01/06/2026 15:39;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Cola Extra Forte AC6000 - 400G;AC6000400;4;62,7;250,8;EOV - Wake;AC6000400;IVA QUIMICA DO BRASIL LTDA;PROFIXX;;;;;;;;;;;;;;;;;;;;;;;;
211993;1;01/06/2026 15:41;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Umi Block Cristal - Impermeabilizante para Pequenos Reparos 250ML;CUB0100025;1;186,67;186,67;Eov Shopee 2026;CUB0100025;IVA QUIMICA DO BRASIL LTDA;CRISTAL;;;;;;;;;;;;;;;;;;;;;;;;
211994;1;01/06/2026 15:43;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Cola Extra Forte AC6000 - 400G;AC6000400;1;62,7;62,7;EOV - Wake;AC6000400;IVA QUIMICA DO BRASIL LTDA;PROFIXX;;;;;;;;;;;;;;;;;;;;;;;;
211995;1;01/06/2026 15:44;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Antiderrapante LÃ­quido Contra Quedas 250G Incolor;CQ04000025;1;90,32;90,32;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;UMA TINTA;;;;;;;;;;;;;;;;;;;;;;;;
211996;1;01/06/2026 15:44;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Esmalte MarÃ­timo Sobre Ferrugem 900G Branco - Pulo do Gato;EMF044409;1;62,28;62,28;Eov Shopee 2026;EMF044409;IVA QUIMICA DO BRASIL LTDA;O PULO DO GATO;;;;;;;;;;;;;;;;;;;;;;;;
211997;1;01/06/2026 15:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Acqua Shine Componente A 250G;AS01000250;1;137,5;137,5;EOV - Wake;AS01000250;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211997;1;01/06/2026 15:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Acqua Shine Componente B 125G;AS01000125B;1;137,5;137,5;EOV - Wake;AS01000125B;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
129114;2;01/06/2026 15:48;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Primer Promotor De Aderencia Grannistone 4kg;TPG0400104;1;136,8;136,8;EOV - Mercado Livre;TPG0400104;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;;
211998;1;01/06/2026 15:49;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Cola para Madeira Wood Wood 3 - 497G;WD00000497;1;67,93;67,93;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;Wood Wood;;;;;;;;;;;;;;;;;;;;;;;;
