Número;Série;Data de emissão;Situação;Natureza;Descrição;Código;Quantidade;Valor unitário;Valor total;Nome da Loja;Código no fornecedor;Nome;Marca;;Série;Data de emissão;Situação;Natureza;Descrição;Código;Quantidade;Valor unitário;Valor total;Nome da Loja;Nome;;Série;Data de emissão;Situação;Natureza;Descrição;Código;Quantidade;Valor unitário;Valor total;Nome da Loja
129547;2;05/06/2026 14:40;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Resina Epoxi Monocomponente Para Doming 100g - Transfix Incolor;PM0000101;1;70,49;70,49;EOV - Mercado Livre;PM0000101;IVA QUIMICA DO BRASIL LTDA;HOBBY ART;;;;;;;;;;;;;;;;;;;;;;;
212829;1;05/06/2026 14:40;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Umi Block Cristal - Impermeabilizante para Pequenos Reparos 3,6L;CUB0100036;1;939,4;939,4;EOV - Wake;CUB0100036;IVA QUIMICA DO BRASIL LTDA;CRISTAL;;;;;;;;;;;;;;;;;;;;;;;
212830;1;05/06/2026 14:45;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Smart Resina 900ML Semi Brilho;SR0100009;1;124,81;124,81;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA;SMART;;;;;;;;;;;;;;;;;;;;;;;
212831;1;05/06/2026 14:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Microcimento 4,5KG Cinza Granizo;LQ0442145;1;213,5;213,5;EOV - Wake;LQ0442137;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;
212831;1;05/06/2026 14:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Resina 3,6L Brilhante;LR0100002;1;315,05;315,05;EOV - Wake;LR0100002;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;
212831;1;05/06/2026 14:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Marmorite Cera de Carnaúba 200G;MSS010002;1;79,9;79,9;EOV - Wake;MSS010002;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;
212832;1;05/06/2026 14:48;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Limpador de Cortina de Vidros e Placas Solares Fullvit 1L IvaClean;IFUV0001;1;92,72;92,72;EOV - Mercado Livre;96932;Z S FABRICANTE DE PRODUTOS DE LIMPEZA LTDA;IVACLEAN;;;;;;;;;;;;;;;;;;;;;;;
212833;1;05/06/2026 14:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Filme 900ML;RF00900;1;371,54;371,54;EOV - Mercado Livre;RF00900;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;
212834;1;05/06/2026 14:53;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Adesivo de Contato AC9000 900ML;AC900009;1;181,47;181,47;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA;PROFIXX;;;;;;;;;;;;;;;;;;;;;;;
129549;2;05/06/2026 14:54;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Massa Polimerica Cimento Pronto Cola Tijolos Blocos 2,5kg;TCB03010;1;24,96;24,96;EOV - Mercado Livre;-;-;-;;;;;;;;;;;;;;;;;;;;;;;
212835;1;05/06/2026 14:58;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Filme 150ML Transfix;RF00150;1;110,34;110,34;Eov Shopee 2026;RF00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;
212836;1;05/06/2026 14:58;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Adesivo de Reparo para Pisos Elastment - SOS Piso 1KG;SP000001;1;443,41;443,41;EOV - Wake;SP000001;IVA QUIMICA DO BRASIL LTDA;ELASTMENT;;;;;;;;;;;;;;;;;;;;;;;
212837;1;05/06/2026 15:00;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;
212838;1;05/06/2026 15:01;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;
212839;1;05/06/2026 15:02;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Hobby Art Decora Pinta Tudo 250ML Preto;DPT04010025;1;67,74;67,74;Eov Shopee 2026;DPT04010025;IVA QUIMICA DO BRASIL LTDA;HOBBY ART;;;;;;;;;;;;;;;;;;;;;;;
212840;1;05/06/2026 15:03;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Cola Piso Vinílico E Emborrachado Ac10000 4KG;AC1000304;2;219,96;439,91;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;PROFIXX;;;;;;;;;;;;;;;;;;;;;;;
212841;1;05/06/2026 15:05;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Protelha Fast Tape Cristal 10cm x 5m - Fita Aluminizada de Copolímero Sintético;FT000105;1;100,65;100,65;EOV - Wake;;RIO CHENS IMPORT. E EXPORTAD. LTDA;Cristal;;;;;;;;;;;;;;;;;;;;;;;
212842;1;05/06/2026 15:07;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Verniz Pu Manta Líquida Zero Obra Elastment 3,5KG Brilhante Cinza Escuro;VZ0140035;1;1.191,28;1.191,28;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;ELASTMENT;;;;;;;;;;;;;;;;;;;;;;;
212843;1;05/06/2026 15:08;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Resina para Pedras Hold Stone Pro 1L;HSP0100001;1;285;285;EOV - Wake;HSP0100001;IVA QUIMICA DO BRASIL LTDA;HOLD STONE;;;;;;;;;;;;;;;;;;;;;;;
212844;1;05/06/2026 15:10;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Protelha Fast Tape Cristal 10cm x 5m - Fita Aluminizada de Copolímero Sintético;FT000105;2;134,2;268,4;EOV - Mercado Livre;;RIO CHENS IMPORT. E EXPORTAD. LTDA;Cristal;;;;;;;;;;;;;;;;;;;;;;;
212845;1;05/06/2026 15:10;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Hobby Art Decora Pinta Tudo 250ML Navarro;DPT04054025;1;43,89;43,89;EOV - Wake;DPT04054025;IVA QUIMICA DO BRASIL LTDA;HOBBY ART;;;;;;;;;;;;;;;;;;;;;;;
212846;1;05/06/2026 15:12;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Hobby Art Decora Pinta Tudo 900ML Branco;DPT04001009;1;146,4;146,4;EOV - Wake;DPT04001009;IVA QUIMICA DO BRASIL LTDA;HOBBY ART;;;;;;;;;;;;;;;;;;;;;;;
212847;1;05/06/2026 15:12;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;
212848;1;05/06/2026 15:12;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;
212849;1;05/06/2026 15:12;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Umi Block Cristal C/ Bico Aplicador - Impermeabilizante para Pequenos Reparos 500ML;CUB01000009;1;262,2;262,2;EOV - Wake;CUB01000009;IVA QUIMICA DO BRASIL LTDA;CRISTAL;;;;;;;;;;;;;;;;;;;;;;;
212850;1;05/06/2026 15:14;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Smart Resina 250ML Semi Brilho;SR0100025;1;48,76;48,76;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;SMART;;;;;;;;;;;;;;;;;;;;;;;
212850;1;05/06/2026 15:14;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Hobby Art Decora Pinta Tudo 900ML Rosa Retrô;DPT04324009;1;120;120;EOV - Wake;DPT04324009;IVA QUIMICA DO BRASIL LTDA;HOBBY ART;;;;;;;;;;;;;;;;;;;;;;;
212851;1;05/06/2026 15:15;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante para Juntas Cimentícias DW240 Flex 420G - Branco;SE2400142;1;75,24;75,24;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;DRY LEVIS;;;;;;;;;;;;;;;;;;;;;;;
212852;1;05/06/2026 15:17;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Umi Block Cristal C/ Bico Aplicador - Impermeabilizante para Pequenos Reparos 500ML;CUB01000009;1;262,2;262,2;EOV - Wake;CUB01000009;IVA QUIMICA DO BRASIL LTDA;CRISTAL;;;;;;;;;;;;;;;;;;;;;;;
212853;1;05/06/2026 15:17;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Verniz Wood Wood PU 70 Base Água para Madeira 900ML;WV0100009;2;231,63;463,26;EOV - Wake;WV0100009;IVA QUIMICA DO BRASIL LTDA;Wood Wood;;;;;;;;;;;;;;;;;;;;;;;
212859;1;05/06/2026 15:19;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;
212856;1;05/06/2026 15:19;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;
212857;1;05/06/2026 15:19;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;
212858;1;05/06/2026 15:19;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;
212854;1;05/06/2026 15:19;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;
212855;1;05/06/2026 15:19;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;;;;;;;;;;;;;;;;;;;;;;
212860;1;05/06/2026 15:19;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Massa Acrílica em Pó - Saco 20KG;MA0400120;1;418,42;418,42;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA;SMART;;;;;;;;;;;;;;;;;;;;;;;
212861;1;05/06/2026 15:20;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Óleo Cristal Wood Wood 900ML;OT0100009;1;104,49;104,49;EOV - Wake;OT0100009;IVA QUIMICA DO BRASIL LTDA;WOOD WOOD;;;;;;;;;;;;;;;;;;;;;;;
212861;1;05/06/2026 15:20;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Cera Cristal Wood Wood 900ML;CT0100009;1;137,94;137,94;EOV - Wake;CT0100009;IVA QUIMICA DO BRASIL LTDA;Wood Wood;;;;;;;;;;;;;;;;;;;;;;;
212862;1;05/06/2026 15:21;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Porcelanato Líquido Baixa Espessura e Média Viscosidade Wood Wood - Componente A 800g;WPA000A8;1;137,5;137,5;EOV - Wake;WPA000A8;IVA QUIMICA DO BRASIL LTDA;WOOD WOOD;;;;;;;;;;;;;;;;;;;;;;;
212862;1;05/06/2026 15:21;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Porcelanato Líquido Baixa Espessura e Média Viscosidade Wood Wood - Componente B 480g;WPA000B48;1;137,5;137,5;EOV - Wake;WPA000B48;IVA QUIMICA DO BRASIL LTDA;WOOD WOOD;;;;;;;;;;;;;;;;;;;;;;;
212863;1;05/06/2026 15:21;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Hobby Art Decora Pinta Tudo 250ML Rosa Retrô;DPT04324025;1;62,72;62,72;EOV - Mercado Livre;DPT04324025;IVA QUIMICA DO BRASIL LTDA;HOBBY ART;;;;;;;;;;;;;;;;;;;;;;;
212864;1;05/06/2026 15:23;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante para Juntas Cimentícias DW240 Flex 420G - Cinza;SE2440142;4;75,24;300,96;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;DRYLEVIS;;;;;;;;;;;;;;;;;;;;;;;
212865;1;05/06/2026 15:25;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Smart Resina 250ML Semi Brilho;SR0100025;1;48,76;48,76;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;SMART;;;;;;;;;;;;;;;;;;;;;;;
212866;1;05/06/2026 15:26;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante para Juntas Cimentícias DW240 Flex 420G - Cinza;SE2440142;2;75,24;150,48;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;DRYLEVIS;;;;;;;;;;;;;;;;;;;;;;;
212867;1;05/06/2026 15:28;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante para Juntas Cimentícias DW240 Flex 420G - Cinza;SE2440142;1;75,24;75,24;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;DRYLEVIS;;;;;;;;;;;;;;;;;;;;;;;
212869;1;05/06/2026 15:29;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante para Juntas Cimentícias DW240 Flex 420G - Cinza;SE2440142;1;75,24;75,24;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;DRYLEVIS;;;;;;;;;;;;;;;;;;;;;;;
129553;2;05/06/2026 15:30;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Massa Polimerica Cimento Pronto Cola Tijolos Blocos 2,5kg;TCB03010;1;24,96;24,96;EOV - Mercado Livre;-;-;-;;;;;;;;;;;;;;;;;;;;;;;
212870;1;05/06/2026 15:30;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Umi Block Cristal - Impermeabilizante para Pequenos Reparos 250ML;CUB0100025;1;159,6;159,6;EOV - Wake;CUB0100025;IVA QUIMICA DO BRASIL LTDA;CRISTAL;;;;;;;;;;;;;;;;;;;;;;;
212870;1;05/06/2026 15:30;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante Acrílico Zero Trinca 420G;ZT04001420;1;38,67;38,67;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;SMART;;;;;;;;;;;;;;;;;;;;;;;
212871;1;05/06/2026 15:31;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Limpador de Cortina de Vidros e Placas Solares Fullvit 1L IvaClean;IFUV0001;1;92,72;92,72;EOV - Mercado Livre;96932;Z S FABRICANTE DE PRODUTOS DE LIMPEZA LTDA;IVACLEAN;;;;;;;;;;;;;;;;;;;;;;;
212872;1;05/06/2026 15:32;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;SOS Gesso - Aditivo Funcional Liso Perfect Cola Mais 640G;SGC001640;1;270,85;270,85;Eov Shopee 2026;;IVA QUIMICA DO BRASIL LTDA;DRY LEVIS;;;;;;;;;;;;;;;;;;;;;;;
129555;2;05/06/2026 15:33;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Cola Adesiva Ac 6000 Para Espuma Mdf Gesso Pro Fixx 400g;AC6000400;1;85;85;EOV - Mercado Livre;AC6000400;IVA QUIMICA DO BRASIL LTDA;PROFIXX;;;;;;;;;;;;;;;;;;;;;;;
212874;1;05/06/2026 15:34;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Película Líquida 900ML;LG0100009;1;106,72;106,72;EOV - Wake;LG0100009;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;
212868;1;05/06/2026 15:34;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Massa Niveladora 5KG;LTM0400105;1;87,78;87,78;Comercial Interno;LTM0400105;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;
212873;1;05/06/2026 15:34;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Microcimento 18KG Cinza Claro;LQ0440418;1;888,33;888,33;Comercial Interno;LQ0440418;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;
212873;1;05/06/2026 15:34;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Smart Resina 3,6L Semi Brilho;SR0100036;1;335,58;335,58;Comercial Interno;;IVA QUIMICA DO BRASIL LTDA;SMART;;;;;;;;;;;;;;;;;;;;;;;
212875;1;05/06/2026 15:38;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Porcelanato Líquido Baixa Espessura e Viscosidade Wood Wood - Componente A 800g;WPC000A8;2;137,5;275;EOV - Wake;WPC000B48;IVA QUIMICA DO BRASIL LTDA;WOOD WOOD;;;;;;;;;;;;;;;;;;;;;;;
212875;1;05/06/2026 15:38;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Porcelanato Líquido Baixa Espessura e Viscosidade Wood Wood - Componente B 480g;WPC000B48;2;137,5;275;EOV - Wake;WPC000A8;IVA QUIMICA DO BRASIL LTDA;WOOD WOOD;;;;;;;;;;;;;;;;;;;;;;;
212875;1;05/06/2026 15:38;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Óleo Cristal Wood Wood 900ML;OT0100009;2;104,49;208,98;EOV - Wake;OT0100009;IVA QUIMICA DO BRASIL LTDA;WOOD WOOD;;;;;;;;;;;;;;;;;;;;;;;
212876;1;05/06/2026 15:44;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Lixa para Madeira e Massa Condor - Grão 80;C1040/80;1;1,65;1,65;EOV - Wake;971695;CONDOR PINCEIS LTDA;CONDOR;;;;;;;;;;;;;;;;;;;;;;;
212876;1;05/06/2026 15:44;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Lixa para Madeira e Massa Condor - Grão 220;C1040/220;1;1,2;1,2;EOV - Wake;971700;CONDOR PINCEIS LTDA;CONDOR;;;;;;;;;;;;;;;;;;;;;;;
212876;1;05/06/2026 15:44;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Hobby Art Decora Pinta Tudo 250ML Acqua Marina;DPT04928025;1;46,97;46,97;EOV - Wake;DPT04928025;IVA QUIMICA DO BRASIL LTDA;HOBBY ART;;;;;;;;;;;;;;;;;;;;;;;
212876;1;05/06/2026 15:44;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Película Líquida 900ML;LG0100009;1;106,72;106,72;EOV - Wake;LG0100009;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;
212877;1;05/06/2026 15:48;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Chapisco Flex Resina Acrílica Elastment 900G;CK0000001;1;76,78;76,78;Eov Shopee 2026;;IVA QUIMICA DO BRASIL LTDA;SMART CIMENTO;;;;;;;;;;;;;;;;;;;;;;;
212878;1;05/06/2026 15:51;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Pigmento Uma Gota 50ML Vermelho;UG04326050;1;31,78;31,78;Eov Shopee 2026;UG04326050;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;
212878;1;05/06/2026 15:51;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Pigmento Uma Gota 50ML Azul;UG04221050;1;31,78;31,78;Eov Shopee 2026;UG04221050;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;
212878;1;05/06/2026 15:51;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Pigmento Uma Gota 50ML Preto;UG04010050;1;31,78;31,78;Eov Shopee 2026;UG04010050;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;
212878;1;05/06/2026 15:51;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Pigmento Uma Gota 50ML Café Arábica;UG04773050;1;31,78;31,78;Eov Shopee 2026;UG04773050;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;
212879;1;05/06/2026 15:54;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Umi Block Cristal - Impermeabilizante para Pequenos Reparos 1L;CUB0100001;1;375,76;375,76;EOV - Wake;CUB0100001;IVA QUIMICA DO BRASIL LTDA;CRISTAL;;;;;;;;;;;;;;;;;;;;;;;
212880;1;05/06/2026 15:55;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Adesivo de Reparo para Pisos Elastment - SOS Piso 1KG;SP000001;1;443,41;443,41;EOV - Wake;SP000001;IVA QUIMICA DO BRASIL LTDA;ELASTMENT;;;;;;;;;;;;;;;;;;;;;;;
212881;1;05/06/2026 15:56;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Impermeabilizante SOS Concreto 1L;SC0000001;1;627;627;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;SMART CIMENTO;;;;;;;;;;;;;;;;;;;;;;;
212882;1;05/06/2026 15:58;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Impermeabilizante SOS Concreto 1L;SC0000001;1;627;627;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;SMART CIMENTO;;;;;;;;;;;;;;;;;;;;;;;
212882;1;05/06/2026 15:58;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante para Colagem e Vedação PU 40 360G Branco - Pulo do Gato;PDGPU40B360;1;19,99;19,99;EOV - Wake;26423;IVA QUIMICA DO BRASIL LTDA;O PULO DO GATO;;;;;;;;;;;;;;;;;;;;;;;
212883;1;05/06/2026 16:01;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Película Líquida 900ML;LG0100009;1;106,72;106,72;EOV - Wake;LG0100009;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;
212884;1;05/06/2026 16:03;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Película Líquida 900ML;LG0100009;1;106,72;106,72;EOV - Wake;LG0100009;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;;;;;;;;;;;;;;;;;;;;;;
212885;1;05/06/2026 16:05;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Disco de Lixa Abranet Ace 6 ''/ 150MM P400 Mirka;AC24105041;3;7,72;23,17;EOV - Wake;AC24105041;MIRKA BRASIL LTDA;MIRKA;;;;;;;;;;;;;;;;;;;;;;;
212885;1;05/06/2026 16:05;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Pincel Artístico Redondo Fino e Linear 422-2 Condor;C422/2;1;12,26;12,26;EOV - Wake;88838;CONDOR PINCEIS LTDA;CONDOR;;;;;;;;;;;;;;;;;;;;;;;
212886;1;05/06/2026 16:06;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Tinta Elástica Smart Color Semi Brilho 3,6L Verde Selva;SR0392036;1;372,44;372,44;EOV - Wake;SR0392036;IVA QUIMICA DO BRASIL LTDA;SMART;;;;;;;;;;;;;;;;;;;;;;;
212887;1;05/06/2026 16:08;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Cola para Madeira Wood Wood 3 - 1,1KG;WD0000012;1;143,24;143,24;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;Wood Wood;;;;;;;;;;;;;;;;;;;;;;;
212887;1;05/06/2026 16:08;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Wood Wood Massa Flex Reparo Fácil para Madeira 90G Cerejeira;WM0403790;1;52,25;52,25;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;Wood Wood;;;;;;;;;;;;;;;;;;;;;;;
212888;1;05/06/2026 16:11;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Adesivo de Reparo para Pisos Elastment - SOS Piso 1KG;SP000001;1;443,41;443,41;EOV - Wake;SP000001;IVA QUIMICA DO BRASIL LTDA;ELASTMENT;;;;;;;;;;;;;;;;;;;;;;;
212889;1;05/06/2026 16:14;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Selante para Juntas Cimentícias DW240 Flex 420G - Branco;SE2400142;4;75,24;300,96;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;DRY LEVIS;;;;;;;;;;;;;;;;;;;;;;;
212889;1;05/06/2026 16:14;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Protetor de Parafuso Veipar;VBI00002;500;0,59;292,5;EOV - Wake;;VEIPAR LTDA;VEIPAR;;;;;;;;;;;;;;;;;;;;;;;
212890;1;05/06/2026 16:15;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Manta Elástica Impermeabilizante Acrílica Acqua Zero 4KG Cerâmica Telha;IMAZ31704;1;231,09;231,09;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;ELASTMENT;;;;;;;;;;;;;;;;;;;;;;;
