Número;Série;Data de emissão;Situação;Natureza;Descrição;Código;Quantidade;Valor unitário;Valor total;Nome da Loja;Código no fornecedor;Nome;Marca;;Série;Data de emissão;Situação;Natureza;Descrição;Código;Quantidade;Valor unitário;Valor total;Nome da Loja;Nome;;Série;Data de emissão;Situação;Natureza;Descrição;Código;Quantidade;Valor unitário;Valor total;Nome da Loja
212587;1;05/06/2026 08:11;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Porcelanato Líquido Baixa Espessura e Viscosidade Wood Wood - Componente A 800g;WPC000A8;1;137,5;137,5;EOV - Wake;WPC000B48;IVA QUIMICA DO BRASIL LTDA;WOOD WOOD;;2;07/06/2026 21:51;Autorizada;Venda de mercadoria a não contribuinte;Verniz Madeira Wood Wood Verniz Pu 75 900ml;WVP0000900;1;275,86;275,86;Mercado Livre - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Drymanta G60 25M x 16CM;DM011625;1;78,99;78,99;Obramil - Mercado livre
212587;1;05/06/2026 08:11;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Porcelanato Líquido Baixa Espessura e Viscosidade Wood Wood - Componente B 480g;WPC000B48;1;137,5;137,5;EOV - Wake;WPC000A8;IVA QUIMICA DO BRASIL LTDA;WOOD WOOD;;2;07/06/2026 22:46;Autorizada;Venda de mercadoria a não contribuinte;Verniz Madeira Wood Wood Verniz Pu 75 900ml;WVP0000900;1;275,86;275,86;Mercado Livre - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Massa Flex Tapa Tudo 5000 - 90G;MF0400190;1;50,52;50,52;Obramil - Mercado livre
212588;1;05/06/2026 08:11;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Fixador de Pedras Hold Stone 1L;HS0000001;1;106,59;106,59;EOV - Wake;HS0000001;IVA QUIMICA DO BRASIL LTDA;HOLD STONE;;1;08/06/2026 09:44;Emitida DANFE;Venda de mercadoria a não contribuinte;KIT Smart Resina 900ML + Massa Fina Seca Parede 4KG + Smart Color Fosco Branco 3,6L;KTMSM0929;1;629,9;629,9;Shopee - Construlivre;-;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Hobby Art Decora Pinta Tudo 900ML Larimar;DPT04927009;1;75,23;75,23;Obramil - Mercado livre
212590;1;05/06/2026 08:16;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Limpador de Cortina de Vidros e Placas Solares Fullvit 1L IvaClean;IFUV0001;1;92,72;92,72;EOV - TIK TOK;96932;Z S FABRICANTE DE PRODUTOS DE LIMPEZA LTDA;IVACLEAN;;1;08/06/2026 09:44;Emitida DANFE;Venda de mercadoria a não contribuinte;Hold Stone Garden Color Stone - Revestimento de Pedras Naturais para Pisos 2KG Âmbar;CSS0410002;6;37,45;224,7;Shopee - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Fixador de Pedras Fix Stone 500ML;FS01000500;1;49,9;49,9;Obramil - Mercado livre
212589;1;05/06/2026 08:17;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Cola para Madeira Wood Wood 3 - 4,3KG;WD0000043;1;498,97;498,97;EOV - Wake;;IVA QUIMICA DO BRASIL LTDA;Wood Wood;;1;08/06/2026 09:44;Emitida DANFE;Venda de mercadoria a não contribuinte;Cimento Egípcio Estrutural Branco 25KG;CIM000001;1;135,66;135,66;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Umi Block Cristal C/ Bico Aplicador - Impermeabilizante para Pequenos Reparos 500ML;CUB01000009;1;358,68;358,68;Obramil - Mercado livre
212591;1;05/06/2026 08:18;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Grannistone Pedras Naturais 5KG Branco Serena;GN0406405;1;334,39;334,39;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA;LT Shiner;;1;08/06/2026 09:44;Emitida DANFE;Venda de mercadoria a não contribuinte;Cimento Egípcio Estrutural Branco 25KG;CIM000001;1;135,66;135,66;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Esmalte Marítimo Sobre Ferrugem 900G Preto Fosco - Pulo do Gato;EMF044109;1;56;56;Obramil - Mercado livre
212592;1;05/06/2026 08:19;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Primer Promotor de Aderência Ultragrip 1KG;UGP0440001;1;143,24;143,24;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA;SMART;;1;08/06/2026 09:44;Emitida DANFE;Venda de mercadoria a não contribuinte;Cimento Egípcio Estrutural Branco 25KG;CIM000001;1;135,66;135,66;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Tech Cola Bloco - Argamassa Pronta para Assentamento 2,5KG Pulo do Gato;CLB00001025;1;24,96;24,96;Obramil - Mercado livre
212593;1;05/06/2026 08:20;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Smart Resina 900ML Semi Brilho;SR0100009;1;124,81;124,81;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA;SMART;;1;08/06/2026 09:44;Emitida DANFE;Venda de mercadoria a não contribuinte;Cimento Egípcio Estrutural Branco 25KG;CIM000001;1;135,66;135,66;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Esmalte Marítimo Sobre Ferrugem 900G Cinza Médio - Pulo do Gato;EMF044309;1;62,28;62,28;Obramil - Mercado livre
212594;1;05/06/2026 08:20;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Esmalte Marítimo Sobre Ferrugem 3,6KG Preto - Pulo do Gato;EMF044136;1;159,48;159,48;EOV - Mercado Livre;EMF044136;IVA QUIMICA DO BRASIL LTDA;O PULO DO GATO;;1;08/06/2026 09:44;Emitida DANFE;Venda de mercadoria a não contribuinte;Cimento Egípcio Estrutural Branco 25KG;CIM000001;1;135,66;135,66;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Esmalte Marítimo Sobre Ferrugem 3,6KG Preto - Pulo do Gato;EMF044136;1;159,48;159,48;Obramil - Mercado livre
212595;1;05/06/2026 08:21;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;1;08/06/2026 09:44;Emitida DANFE;Venda de mercadoria a não contribuinte;Cimento Egípcio Estrutural Branco 25KG;CIM000001;1;135,66;135,66;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Hobby Art Verniz Atóxico 100ML;TV0100001;1;64,69;64,69;Obramil - Mercado livre
212596;1;05/06/2026 08:23;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Shampoo para Telhas Power Shower 5L Cristal;C2763;1;102,48;102,48;Eov Shopee 2026;;-;CRISTAL;;1;08/06/2026 09:44;Emitida DANFE;Venda de mercadoria a não contribuinte;Limpa Porcelanato Rejunte Desincrustante Concentrado Ivaclean 1L;LP0131901;3;136,7;410,1;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Removick Removedor de Filme 150ML Transfix;RF00150;1;97,06;97,06;Obramil - Mercado livre
212597;1;05/06/2026 08:23;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;1;08/06/2026 09:44;Emitida DANFE;Venda de mercadoria a não contribuinte;Cimento Egípcio Estrutural Branco 25KG;CIM000001;1;135,66;135,66;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Drymanta G60 25M x 16CM;DM011625;1;78,99;78,99;Obramil - Mercado livre
212597;1;05/06/2026 08:23;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Primer Promotor de Aderência para plástico TF200 150ML Transfix;TF200150;1;75,12;75,12;Eov Shopee 2026;;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;1;08/06/2026 09:44;Emitida DANFE;Venda de mercadoria a não contribuinte;LT Shine Resina 900ML Brilhante;LR0100009;1;153,67;153,67;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Nex Floor Granito Líquido 1,250KG Branco Ceará - Cristal;CNFGL0125;1;393,67;393,67;Obramil - Mercado livre
212599;1;05/06/2026 08:24;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;1;08/06/2026 13:34;Emitida DANFE;Venda de mercadoria a não contribuinte;Rejunte Acrílico 420G Palha - Pulo do Gato;PRA0440420;1;27,48;27,48;Mercado Livre - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Removick Removedor de Sublimação 150ML;RSB000150;1;107,96;107,96;Obramil - Mercado livre
212598;1;05/06/2026 08:24;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;LT Shine Grannistone 25KG Branco Dallas;GN0406325;2;699,73;1.399,46;Comercial Interno;;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;1;08/06/2026 16:08;Emitida DANFE;Venda de mercadoria a não contribuinte;Removick Removedor De Filme 900ml;RF00900;1;401,26;401,26;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Shampoo para Telhas Power Shower 1L Cristal;C2762;1;80,44;80,44;Obramil - Mercado livre
212600;1;05/06/2026 08:26;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;1;09/06/2026 10:15;Emitida DANFE;Venda de mercadoria a não contribuinte;Aditivo para Chapisco Chapiskola Flex 3,6KG - Pulo do Gato;PCK0100036;1;37,08;37,08;Shopee - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA;;1;05/06/2026 10:26;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Removick Removedor de Transfer 150ml;RT00150;1;42,83;42,83;Obramil - Mercado livre
212601;1;05/06/2026 08:27;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;1;09/06/2026 10:15;Emitida DANFE;Venda de mercadoria a não contribuinte;Cimento Egípcio Estrutural Branco 25KG;CIM000001;1;149,31;149,31;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 11:11;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Protelha Fast Tape Cristal 10cm x 5m - Fita Aluminizada de Copolímero Sintético;FT000105;1;125,81;125,81;Shopee Novo
212602;1;05/06/2026 08:30;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Tech Cola Bloco - Argamassa Pronta para Assentamento 2,5KG Pulo do Gato;CLB00001025;1;24,96;24,96;EOV - Mercado Livre;CLB00001025;IVA QUIMICA DO BRASIL LTDA;PULO DO GATO;;1;09/06/2026 10:15;Emitida DANFE;Venda de mercadoria a não contribuinte;Cimento Egípcio Estrutural Branco 25KG;CIM000001;1;149,3;149,3;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;06/06/2026 08:28;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;LT Shine Cera Atóxica de Acabamento 700G;LC0000209;1;144,46;144,46;Shopee Novo
